Time,cLE,cRE_measured
0,34.980067664869,54.9760593705362
0.5,35.0215469767753,54.98932875476
1,34.9893794478402,54.9444429221825
1.5,35.0195602741851,54.9612491377914
2,35.0063426187734,54.9535817290891
2.5,34.9793501276301,54.9060827804047
3,34.9455735642553,54.9460235943938
3.5,35.0033774723029,54.9939910333981
4,34.9572729742432,54.9436339189935
4.5,35.0206226774764,54.997330615542
5,34.9719859524845,54.9457101032235
5.5,34.9660720565955,54.9906724932346
6,34.9962382732613,54.9665582879671
6.5,34.9699638136137,54.9311479564421
7,35.0144168771393,54.9923824190214
7.5,35.0080277157957,54.9367292148965
8,34.962703246792,54.922828246266
8.5,34.9652302873774,54.9623442373386
9,35.0011402887755,54.991755008851
9.5,35.013024218229,54.9900311338782
10,34.9594293627692,55.0033261131025
10.5,34.9723760308292,55.014997499163
11,34.9569790825945,54.9955133091395
11.5,35.0307851266346,54.9883230053281
12,35.0127668456866,54.9742472853236
12.5,35.0039907757699,54.9395945549621
13,34.9873720332953,54.9216150515625
13.5,34.9862620643723,54.9313981055103
14,35.010664303809,54.8986023520059
14.5,35.0629185292881,54.9866086387422
15,34.9637109918971,54.9685015804546
15.5,34.9975646829605,54.9294569173376
16,35.0560989898649,54.9353036041803
16.5,34.9869231733599,54.9676731990774
17,35.002443130596,54.9761104809751
17.5,35.0177506983338,54.988239700363
18,35.0244306857498,54.9472736565172
18.5,34.9871449826325,54.9379400578864
19,34.9929176517181,54.9399884289787
19.5,35.0377812325739,54.8712658618723
20,34.9864113090939,54.908246265921
20.5,35.0073196285679,54.9738438627203
21,35.03399889344,54.9587132402636
21.5,35.0113291982652,54.9580907401326
22,34.9915968676358,54.9533835553461
22.5,35.001222408066,54.9809000967581
23,35.0335697082403,54.9451824635941
23.5,34.9796800703939,54.9418449043269
24,34.9590601709258,54.940889573216
24.5,35.0061121195364,54.9415067251489
25,35.0666043798737,54.9407918661804
25.5,35.0271608797086,54.9382368384607
26,34.9796297759105,55.0105233666781
26.5,35.0297114770739,54.9360726971522
27,35.005924745814,54.8908841524693
27.5,34.9782386075711,54.9998235374059
28,34.9528216892596,55.0063942078366
28.5,35.0257913400844,54.9583467021961
29,35.0386488513435,54.9381006626578
29.5,34.9834106080353,54.9890435878693
30,35.0263346433216,54.996956458588
30.5,35.0625055811632,54.9172794129552
31,34.9494715546689,54.9690153924398
31.5,34.9194934302307,55.0058881531921
32,35.0298844144585,55.0081281469768
32.5,35.0425424410039,54.9290151886469
33,34.9985976389675,54.9298780213734
33.5,35.0090238407425,55.0117117366648
34,35.005388976546,54.9511053849482
34.5,35.0103903926492,54.9936109447307
