Time,fPLSP,cLO_measured
0,278.3439622415,14.8828513866373
0.5,277.941116525915,14.8791162061956
1,277.817693161418,14.8782679218398
1.5,277.673019755945,14.8796242361348
2,278.75749273595,14.8757710274026
2.5,277.897211315102,14.8777279268852
3,277.018655409835,14.8855710460178
3.5,278.294307255618,14.8710888823215
4,278.065304711349,14.882853103277
4.5,277.418619078062,14.8763377899161
5,278.479082185691,14.8785990944223
5.5,277.688299540733,14.8840124177869
6,277.876370135585,14.8772950832421
6.5,279.179378145236,14.8801810211022
7,278.530567764511,14.8806560060978
7.5,278.496313257129,14.8811340182182
8,278.330630814218,14.8818572390836
8.5,278.282025701419,14.8794196004344
9,278.621052772553,14.8823475838261
9.5,276.638588651124,14.8811380881697
10,277.853054999443,14.8760427742696
10.5,277.398668384363,14.8828041709583
11,277.37015233988,14.8818706998805
11.5,278.90447053243,14.8786805202776
12,277.5083654512,14.8746041926501
12.5,278.360653522302,14.8812314710545
13,277.847950883915,14.8813985844372
13.5,277.890123898685,14.8819668897691
14,277.845073888562,14.8787254918595
14.5,277.997228405499,14.8800600919233
15,278.1993138862,14.8787965367723
15.5,278.57652937996,14.8806839283001
16,278.006656344366,14.8823452182141
16.5,278.267758897858,14.8788926251086
17,277.578982751354,14.8759571238382
17.5,278.239508592769,14.8735855226268
18,277.26156775189,14.8808327101561
18.5,277.674408724631,14.8775465942586
19,278.380523107125,14.8784019209406
19.5,277.627348706399,14.8845726976301
20,277.508980113961,14.8808754392764
20.5,277.414554551359,14.879335012162
21,278.074676649622,14.8845865921429
21.5,277.369973510796,14.8800829363818
22,278.329430993056,14.8762399466438
22.5,278.130365739125,14.880108505433
23,277.61676354551,14.8766287212474
23.5,278.431853312739,14.8767048045189
24,278.025366179903,14.8805627591062
24.5,277.819533423319,14.8775951372091
25,278.636627097792,14.8774204691523
25.5,277.96267776131,14.882798966685
26,277.586462490806,14.8770751347757
26.5,278.158339904522,14.8826720229846
27,277.974996454538,14.8764961787513
27.5,277.880468506723,14.8816933596276
28,278.060985404817,14.8780117951789
28.5,278.316797803458,14.8771349871285
29,278.260855510115,14.8835970486682
29.5,278.396723569287,14.8812780688471
30,278.18428158303,14.8780206403452
30.5,277.838042474132,14.8757162269088
31,278.441727850829,14.8787677852328
31.5,277.325420907172,14.8851521204002
32,278.500365970401,14.8795405701912
32.5,277.364149460434,14.8804001435484
33,278.321540312971,14.8821595272928
33.5,278.658422735614,14.8797610072011
34,277.963873430476,14.8806024360912
34.5,278.82123389211,14.8813357852265
35,277.631077688995,14.8787685614794
35.5,278.859241054133,14.8731997461636
36,277.580914678422,14.879552216971
36.5,277.758905964323,14.8745668312721
37,278.062357357887,14.8806523435194
37.5,278.593241592276,14.8767441333994
38,277.464615951708,14.8833204253287
38.5,278.092530233915,14.8777116873442
39,277.857760035417,14.8802524644755
39.5,276.596959533601,14.8810621287459
40,277.434948219432,14.8813261055459
40.5,278.738887484986,14.8872194907503
41,277.910213791782,14.883439961976
41.5,278.190001548422,14.8818981166086
42,277.791475866285,14.8845428746768
42.5,277.804122401435,14.8777773214175
43,277.54080847719,14.8783309038366
43.5,278.399278134076,14.87918704829
44,278.198610023225,14.8789734390124
44.5,278.05143384704,14.8819963421092
45,277.884138357401,14.874142153671
45.5,277.678569676878,14.8830776487957
46,277.90713603258,14.8787163728915
46.5,278.131482444515,14.8796182249531
47,278.392675475345,14.8772688733279
47.5,277.659793760898,14.8772513323387
48,278.032543990989,14.882208272722
48.5,278.718483457953,14.8785998201276
49,277.978431188328,14.8765628736735
49.5,277.820333995614,14.8773622099602
50,277.77193372451,14.8811387421119
50.5,277.90242764811,14.8758993631436
51,278.100284622293,14.880387314781
51.5,277.653441373753,14.8809968228992
52,277.949867343981,14.8784952608442
52.5,277.656153167198,14.881539467823
53,277.671130705409,14.8777243534963
53.5,278.259628844877,14.883356394034
54,278.082105025365,14.8793808574129
54.5,277.761214499332,14.8832642575331
55,277.900160797267,14.8787975892338
55.5,277.750720234855,14.8808993969195
56,277.186653382069,14.8846733571672
56.5,277.887407488524,14.8755602638612
57,278.469721213671,14.8829973511011
57.5,278.106287444688,14.876295691182
58,277.578194937856,14.8742689945056
58.5,278.253268635478,14.8824990724362
59,278.131055336004,14.879105790618
59.5,278.002858138349,14.8784479621956
60,277.562834342042,14.880029923388
60.5,277.809661288893,14.8854362087454
61,278.353008616076,14.881512471917
61.5,278.349514775321,14.8761419717968
62,278.898203492439,14.8760458901285
62.5,277.814983597132,14.8766722198911
63,278.063846311288,14.883881051553
63.5,277.860633449017,14.8774019267209
64,278.944860638535,14.8781962797779
64.5,277.156119298784,14.8801100589118
65,277.749235996365,14.8801054211018
65.5,277.790971246869,14.8815478827271
66,277.504018254441,14.87909895537
66.5,278.646938323595,14.8795716788171
67,278.080841219561,14.8792291185764
67.5,278.547552437938,14.8765619898302
68,277.347967017268,14.8748298968105
68.5,278.462893633907,14.8851095212606
69,278.100100290241,14.8802230804705
69.5,278.212096671025,14.8789975904387
70,278.252538227392,14.8851543922961
70.5,278.250277902764,14.8803270514845
71,277.708084783457,14.8819517539353
71.5,278.52391897267,14.8804098648998
72,278.809505712424,14.8840839633405
72.5,278.224244887434,14.8807743977445
73,278.007540614773,14.8802355219788
73.5,277.265749939032,14.8811389936657
74,278.296418870314,14.8826973585963
74.5,277.879631041389,14.8770490781316
75,277.25742192512,14.8801848609566
75.5,277.54791590588,14.8783216372867
76,278.405799061702,14.8858794821553
76.5,277.992324767976,14.8824009059285
77,278.236918246371,14.8767512741194
77.5,277.700106112257,14.8842687889419
78,277.863996979429,14.8771302002228
78.5,277.946672468246,14.8822162660845
79,278.643156465048,14.8779220869989
79.5,277.793983708488,14.8867859809721
80,278.575610284895,14.8806675177466
80.5,278.200087653629,14.8820465659561
81,277.89204543124,14.8778693445227
81.5,277.850214169091,14.8830516718541
82,278.077696373314,14.8754064018199
82.5,278.145575763042,14.8801116960216
83,276.973500662871,14.8789759785643
83.5,278.741334942836,14.8801865849466
84,278.434644526502,14.878746184727
84.5,277.416392513488,14.8806105808158
85,278.086577270862,14.8841359231191
85.5,277.064110333231,14.8755583363127
86,277.054557680076,14.87927681007
86.5,277.723935121615,14.8788974384111
87,277.57574522676,14.877834297834
87.5,278.168020954924,14.8820809869632
88,278.33842354854,14.8754502009822
88.5,277.277809422987,14.8807731636687
89,277.588440647338,14.8792678813853
89.5,277.08836619575,14.8782743913376
90,278.377565386511,14.8791818210831
90.5,277.766797941867,14.881636137055
91,278.166613735645,14.8781834890765
91.5,278.996799686681,14.8813913104651
92,277.119957211266,14.8783530198817
92.5,278.384436461955,14.8769315924862
93,278.568079707299,14.8859184822334
93.5,278.360372813187,14.8806897968519
94,278.51156901674,14.883451098195
94.5,277.891386230154,14.8768991917926
95,277.658626725733,14.8866563630834
95.5,278.026284031459,14.8767066912487
96,276.987124552332,14.8755872882685
96.5,278.527536822959,14.8820046002582
97,278.031597841562,14.8809157258282
97.5,277.830280905887,14.8811871802116
98,278.060961926316,14.8812962807627
98.5,277.214278067806,14.8826122082338
99,277.8100295022,14.8845923955845
99.5,278.06217680807,14.8816818113851
100,278.696816095107,14.8821323652022
100.5,277.452889187086,14.8764432403728
101,278.47264345736,14.8809136592929
101.5,277.793745775205,14.8820878793878
102,278.759840051201,14.8807425733435
102.5,278.048916039423,14.8783521970249
103,278.351966052505,14.8796033149444
103.5,278.002503269449,14.8785234173726
104,277.055370500685,14.8799863769405
104.5,277.515778177934,14.8854567164
105,278.079696107134,14.8830183465117
105.5,277.24516505155,14.8790434687641
106,278.769933450104,14.8855074762163
106.5,276.961229428272,14.8793411280338
107,277.867460241821,14.8749639685019
107.5,277.785310757296,14.8794471953475
