k,kNN2,kNN4
1,0.841595201,0.950938071
2,0.862401286,0.955349671
3,0.871583278,0.959086124
4,0.877142627,0.95962817
5,0.879368682,0.960816428
6,0.881980535,0.961030546
7,0.882680758,0.961941029
8,0.884131359,0.961707621
9,0.885053415,0.962241952
10,0.885747852,0.961817574
20,0.888949975,0.96146264
30,0.890136304,0.960509719
40,0.890643628,0.959720762
50,0.891266692,0.958601948
60,0.891374715,0.957554506
70,0.891534821,0.95668646
80,0.891637058,0.955816485
90,0.891772087,0.954985091
100,0.891762442,0.954273294
110,0.892020927,0.953468904
120,0.891984276,0.952793758
130,0.891934122,0.952203488
140,0.891939909,0.951584281
150,0.891999708,0.950988223
160,0.892020927,0.950523337
170,0.891999707,0.950012154
180,0.892046003,0.94946625
190,0.892030571,0.948982073
200,0.891945696,0.948582772
