k_vals,accuracy,LDA_2_accuracy,
1,0.97401939,0.879974589,
2,0.959004017,0,0.008099505
3,0.966345808,0,0.000757714
4,0.964509396,0,0.002594126
5,0.966642875,0,0.000460647
6,0.96543146,0,0.001672061
7,0.966241642,0,0.000861879
8,0.966747813,0,0.000355709
9,0.967103522,0,0
10,0.966799511,0,0.000304011
20,0.966845035,0,0.000258486
30,0.966616641,0,0.00048688
40,0.966358155,0,0.000745367
50,0.966118958,0,0.000984564
60,0.965919113,0,0.001184409
70,0.965703836,0,0.001399686
80,0.965531769,0,0.001571753
90,0.965282541,0,0.001820981
100,0.965122048,0,0.001981474
110,0.96488208,0,0.002221442
120,0.964683778,0,0.002419743
130,0.964480847,0,0.002622675
140,0.964299521,0,0.002804001
150,0.964121281,0,0.002982241
160,0.963931466,0,0.003172055
170,0.963748597,0,0.003354925
180,0.963574986,0,0.003528535
190,0.963412178,0,0.003691343
200,0.963252457,0,0.003851065
