k_vals,accuracy,
1,0.956001713,0.002651996
2,0.942135254,0.016518455
3,0.950419944,0.008233765
4,0.947088939,0.01156477
5,0.951717007,0.006936702
6,0.956454643,0.002199066
7,0.954936902,0.003716807
8,0.958653709,0
9,0.956179953,0.002473756
10,0.957152171,0.001501537
20,0.954013295,0.004640414
30,0.951312688,0.007341021
40,0.949005598,0.009648111
50,0.947170729,0.01148298
60,0.945387556,0.013266153
70,0.943765649,0.01488806
80,0.942372136,0.016281573
90,0.941019518,0.017634191
100,0.939710881,0.018942828
110,0.938529558,0.020124151
120,0.937356723,0.021296986
130,0.936224011,0.022429697
140,0.93513451,0.023519199
150,0.93403652,0.024617189
160,0.933002573,0.025651136
170,0.9320427,0.026611008
180,0.931125266,0.027528443
190,0.93024101,0.028412699
200,0.929410766,0.029242943
