Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured,v_LO_control,v_LO_valve,v_LE_control,v_LE_valve,v_LO_state,v_LE_state,process_state,sensor_LO_state,c_LO_sensor,c_LO_state,c_RE_sensor,ext_efficiency,strip_efficiency,f1_magnitude,f2_magnitude,fault_state
0,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
30,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
60,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
90,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
120,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
150,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
180,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
210,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
240,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
270,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
300,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
330,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
360,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
390,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
420,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
450,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
480,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
510,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
540,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
570,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
600,14.88,54.96,278,278,278,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.87991304,0,54.95809839,1,1,0,0,0
