Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured,v_LO_control,v_LO_valve,v_LE_control,v_LE_valve,v_LO_state,v_LE_state,process_state,sensor_LO_state,c_LO_sensor,f6_state,c_RE_sensor,ext_efficiency,strip_efficiency,f1_magnitude,f2_magnitude,fault_state
0,14.91,54.98,283.39,278.16,286.03,195.65,7.03,35.09,0.02,0,0.89,0.51,0.51,0.5,0.5,0,0,0,0,14.9092965063729,0,54.9760593705362,1,1,0,0,0
30,14.88,54.96,276.69,284.3,287.68,202.49,7.03,35.13,0.01,0,0.87,0.51,0.51,0.5,0.5,0,0,0,0,14.8770250013484,0,54.9612491377914,1,1,0,0,0
60,14.94,54.95,270.15,288.63,284.78,197.8,6.99,35.06,0,0,0.86,0.5,0.5,0.5,0.5,0,0,0,0,14.936493100178,0,54.9460235943938,1,1,0,0,0
90,14.84,55,274.15,290.78,285.15,192.16,7.06,35.14,0.02,0,0.87,0.51,0.51,0.5,0.5,0,0,0,0,14.8441605391609,0,54.997330615542,1,1,0,0,0
120,14.85,54.97,278.73,280.18,281.8,193.69,7.02,35.11,0,0,0.95,0.5,0.5,0.5,0.5,0,0,0,0,14.8537334724206,0,54.9665582879671,1,1,0,0,0
150,14.89,54.94,284.94,273.28,279.83,197.94,7.01,35.12,0,0.06,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8921228221816,0,54.9367292148965,1,1,0,0,0
180,14.9,54.99,286.19,282.39,289.31,202.44,7.01,35.12,0,0.04,0.91,0.51,0.51,0.5,0.5,0,0,0,0,14.9042584782614,0,54.991755008851,1,1,0,0,0
210,14.91,55.01,273.97,278.1,271.78,199.14,7.01,35.09,0,0,0.87,0.5,0.5,0.5,0.5,0,0,0,0,14.9088243495835,0,55.014997499163,1,1,0,0,0
240,14.83,54.97,275.07,284.39,283.65,193.49,7.05,35.13,0,0,0.87,0.51,0.51,0.5,0.5,0,0,0,0,14.8268245665015,0,54.9742472853236,1,1,0,0,0
270,14.9,54.93,278.89,278.99,287.46,190.93,7.07,35.1,0,0.02,0.94,0.51,0.51,0.5,0.5,0,0,0,0,14.9004515376912,0,54.9313981055103,1,1,0,0,0
300,14.87,54.97,281.99,275.3,273.73,193.99,7.08,35.08,0.02,0,0.92,0.51,0.51,0.5,0.5,0,0,0,0,14.8687480077234,0,54.9685015804546,1,1,0,0,0
330,14.87,54.97,282.68,281.49,281.58,202.29,7.05,35.1,0,0,0.89,0.51,0.51,0.5,0.5,0,0,0,0,14.8697088910863,0,54.9676731990774,1,1,0,0,0
360,14.89,54.95,272.62,293.8,291.22,197.31,7.01,35.14,0,0,0.87,0.51,0.51,0.5,0.5,0,0,0,0,14.8891097415611,0,54.9472736565172,1,1,0,0,0
390,14.93,54.87,276.28,288.32,287.83,201.26,7.03,35.16,0.01,0.02,0.87,0.51,0.51,0.5,0.5,0,0,0,0,14.9265096163007,0,54.8712658618723,1,1,0,0,0
420,14.93,54.96,280.76,285.85,282.6,196.16,7,35.15,0.03,0.01,0.86,0.51,0.51,0.5,0.5,0,0,0,0,14.9266485614286,0,54.9587132402636,1,1,0,0,0
450,14.88,54.98,281.32,290.91,297.93,191.77,7.04,35.12,0,0,0.87,0.52,0.52,0.5,0.5,0,0,0,0,14.8818676943302,0,54.9809000967581,1,1,0,0,0
480,14.89,54.94,280.27,286.31,288.11,200.8,7.03,35.08,0,0.03,0.88,0.51,0.51,0.5,0.5,0,0,0,0,14.8864102310625,0,54.940889573216,1,1,0,0,0
510,14.91,54.94,279.65,284.57,276.16,199.79,6.97,35.15,0,0.01,0.97,0.5,0.5,0.5,0.5,0,0,0,0,14.9087723068497,0,54.9382368384607,1,1,0,0,0
540,14.85,54.89,279.78,280.46,275.75,193.25,7.02,35.13,0.03,0.01,0.87,0.5,0.5,0.5,0.5,0,0,0,0,14.8457444275133,0,54.8908841524693,1,1,0,0,0
570,14.85,54.96,283.2,281.88,279.21,196.35,7.02,35.15,0.03,0.02,0.88,0.51,0.51,0.5,0.5,0,0,0,0,14.8521325112854,0,54.9583467021961,1,1,0,0,0
600,14.86,55,281.88,282.18,282.87,202.11,6.99,35.15,0,0.01,0.91,0.51,0.51,0.5,0.5,0,0,0,0,14.860989043452,0,54.996956458588,1,1,0,0,0
630,14.93,55.01,273.29,282.95,276.47,193.01,6.94,35.04,0,0,0.92,0.49,0.49,0.5,0.5,0,0,0,0,14.9323038440023,0,55.0058881531921,1,1,0,0,0
660,14.9,54.93,283.26,287.89,298.76,191.05,7.08,35.12,0,0,0.87,0.52,0.52,0.5,0.5,0,0,0,0,14.9023779129283,0,54.9298780213734,1,1,0,0,0
690,14.89,54.99,288.26,280.85,285.14,197.62,7.02,35.13,0,0,0.84,0.51,0.51,0.5,0.5,0,0,0,0,14.8941404922654,0,54.9936109447307,1,1,0,0,0
720,14.88,54.97,275.86,289.51,284.41,197.06,7.04,35.13,0,0,0.91,0.51,0.51,0.5,0.5,0,0,0,0,14.8763048097104,0,54.9666587809015,1,1,0,0,0
750,14.85,54.94,285.99,281.85,289.78,193.95,6.99,35.08,0,0,0.9,0.51,0.51,0.5,0.5,0,0,0,0,14.8482239739942,0,54.9446009284623,1,1,0,0,0
780,14.88,54.96,278.64,286.77,281.8,196.97,7.04,35.13,0.02,0,0.85,0.51,0.51,0.5,0.5,0,0,0,0,14.8833072847548,0,54.9598455013531,1,1,0,0,0
810,14.95,54.92,287.45,291.5,288.7,194.3,6.99,35.13,0,0.05,0.88,0.52,0.52,0.5,0.5,0,0,0,0,14.9529775475027,0,54.9179796495593,1,1,0,0,0
840,14.93,54.99,277.99,277.51,277.5,194.96,7.03,35.13,0.03,0,0.86,0.5,0.5,0.5,0.5,0,0,0,0,14.9262113867681,0,54.9915196731664,1,1,0,0,0
870,14.87,54.98,284.07,285.01,279.01,195.3,7,35.11,0,0.03,0.86,0.51,0.51,0.5,0.5,0,0,0,0,14.8726531228998,0,54.9782154372796,1,1,0,0,0
900,14.82,54.94,278.92,289.96,284.57,190.7,7,35.14,0,0,0.89,0.51,0.51,0.5,0.5,0,0,0,0,14.82220417671,0,54.943770607964,1,1,0,0,0
930,14.94,55.24,281.4,286.64,279.43,203.85,6.99,35.14,0.08,0.03,0.87,0.51,0.51,0.5,0.5,0,0,0,0,14.943681293845,0,55.2375117586925,1,1,0,0,0
960,14.97,55.32,280.41,283.68,286.2,194.46,7,35.14,0,0.06,0.87,0.51,0.51,0.51,0.51,0,0,0,0,14.9678020789318,0,55.3223679258206,1,1,0,0,0
990,14.98,55.19,278.3,271.72,270.03,198.09,6.97,35.15,0.03,0.04,0.89,0.49,0.49,0.5,0.5,0,0,0,0,14.9821149403278,0,55.1894324198133,1,1,0,0,0
1020,14.94,55.38,281.1,297.37,287.42,197.59,7.07,35.15,0,0,0.9,0.52,0.52,0.51,0.51,0,0,0,0,14.9362759366133,0,55.3765266988899,1,1,0,0,0
1050,14.93,55.38,276.66,279.19,284.13,195.12,7.06,35.13,0,0,0.9,0.51,0.51,0.51,0.51,0,0,0,0,14.9256428416705,0,55.3812517102726,1,1,0,0,0
1080,14.82,55.66,280.93,276.49,283.69,194.09,7.04,35.13,0,0.01,0.9,0.5,0.5,0.51,0.51,0,0,0,0,14.8221665184558,0,55.6577729400466,1,1,0,0,0
1110,15.1,55.02,277.62,276.14,278.77,188.35,7.03,35.14,0.04,0.06,0.89,0.5,0.5,0.5,0.5,0,0,0,0,15.1031943247342,0,55.0176205851672,1,1,0,0,0
1140,14.79,55.66,284.81,281.12,281.91,195.88,6.95,35.1,0,0.02,0.95,0.5,0.5,0.51,0.51,0,0,0,0,14.7913326183891,0,55.6644550468956,1,1,0,0,0
1170,15.06,55.17,282.65,288.52,288.51,191.01,7.04,35.11,0.01,0.02,0.9,0.52,0.52,0.5,0.5,0,0,0,0,15.0582434174825,0,55.1682145605426,1,1,0,0,0
1200,14.89,55.4,275.75,286.32,281.85,199.02,7.01,35.14,0.02,0.03,0.94,0.5,0.5,0.51,0.51,0,0,0,0,14.8947236278192,0,55.3981509886823,1,1,0,0,0
1230,14.94,55.25,283.62,290.05,288.29,198.97,6.97,35.11,0,0,0.91,0.51,0.51,0.5,0.5,0,0,0,0,14.9365649258253,0,55.2526396596559,1,1,0,0,0
1260,15.05,55.13,280.77,286.23,282.63,193.78,7.02,35.06,0.06,0.06,0.87,0.51,0.51,0.5,0.5,0,0,0,0,15.0463706719304,0,55.1291912838805,1,1,0,0,0
1290,14.81,55.63,271.7,287.58,278.89,199.63,6.98,35.08,0,0.03,0.91,0.5,0.5,0.51,0.51,0,0,0,0,14.8108947506507,0,55.6285256447717,1,1,0,0,0
1320,14.99,55.16,275.18,283.87,272.64,195.88,6.96,35.15,0.07,0,0.9,0.5,0.5,0.51,0.51,0,0,0,0,14.9947625552855,0,55.1632529161403,1,1,0,0,0
1350,14.98,55.11,285.62,282.07,279.74,199.3,7.01,35.09,0,0,0.98,0.51,0.51,0.5,0.5,0,0,0,0,14.9754362990411,0,55.111118791895,1,1,0,0,0
1380,14.92,55.37,281.15,279.07,286.31,197.31,7,35.12,0.02,0.03,0.91,0.5,0.5,0.51,0.51,0,0,0,0,14.9246835267334,0,55.3699945758986,1,1,0,0,0
1410,14.95,55.28,282.66,287.3,286.16,196.77,7.01,35.11,0.04,0,0.93,0.51,0.51,0.51,0.51,0,0,0,0,14.952963744321,0,55.2798673917143,1,1,0,0,0
1440,14.96,55.34,288.25,283.04,280.5,198.03,6.97,35.12,0,0,0.92,0.51,0.51,0.51,0.51,0,0,0,0,14.9562876196981,0,55.3429744620512,1,1,0,0,0
1470,15.04,55.13,272.82,280.07,280.72,199.46,7.05,35.07,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,15.0420610229224,0,55.1271649515796,1,1,0,0,0
1500,14.93,55.36,272.74,284.13,284.06,203.63,7.08,35.12,0,0.01,0.87,0.51,0.51,0.51,0.51,0,0,0,0,14.9312223980342,0,55.3573163597089,1,1,0,0,0
1530,14.87,55.56,280.1,277.46,280.02,194.15,7,35.12,0,0.02,0.89,0.5,0.5,0.51,0.51,0,0,0,0,14.8737744830874,0,55.5611832149366,1,1,0,0,0
1560,14.95,55.21,278.82,295.03,289.67,199.47,7.02,35.13,0,0.05,0.91,0.52,0.52,0.51,0.51,0,0,0,0,14.9480149890677,0,55.2122581447354,1,1,0,0,0
1590,14.99,55.36,278.12,280.64,290.21,197.99,7,35.14,0,0,0.92,0.5,0.5,0.51,0.51,0,0,0,0,14.9938874609312,0,55.3606844220962,1,1,0,0,0
1620,14.77,55.64,279.11,284.82,282.98,196.32,7,35.16,0.02,0.01,0.93,0.51,0.51,0.51,0.51,0,0,0,0,14.7733894659296,0,55.6436377655592,1,1,0,0,0
